Year,Natural gas production (million ft^3/a),Residential and commercial natural gas consumption (million ft^3/a),Gross total emissions (million tonnes/a CO2e),EPA natural gas system methane emissions (million tonnes/a CO2e),Net total emissions (million tonnes/a CO2e)
1990,18593792,7014045,6536.9,218.8,5560.2
1991,18532439,7284240,6472.7,224.1,5483.7
1992,18711808,7492816,6576.4,221.1,5569
1993,18981915,7818014,6686.5,221,5695.1
1994,19709525,7742715,6782.6,223.3,5777.4
1995,19506474,7881395,6862.1,216,5881.9
1996,19812241,8399658,7056.3,214.4,6045.1
1997,19866093,8198684,7109,216.6,6123.8
1998,19961348,7519767,7179,213.7,6182.7
1999,19804848,7770330,7218.6,210,6250.2
2000,20197511,8178648,7419.9,213.2,6436.2
2001,20570295,7794052,7287.3,214.1,6307.6
2002,19884780,8032988,7329.9,212.1,6405.1
2003,19974360,8258844,7386.9,211.1,6429
2004,19517491,7997769,7492.3,212.9,6632.1
2005,18927095,7825695,7494.6,210.1,6586.9
2006,19409674,7200496,7429.2,218.1,6477.2
2007,20196346,7735262,7529.9,216.2,6629.6
2008,21112053,8044806,7326.4,219.4,6413.5
2009,21647936,7897499,6866.9,207.1,6016
2010,22381873,7885005,7066,199.9,6179.7
2011,24036352,7869096,6911.8,194.1,5970
2012,25283278,7044445,6660.9,189.3,5731.7
2013,25562232,8192673,6845.4,188.2,5958.8
2014,27497754,8553779,6905.9,185.7,5982.2
2015,28772044,7814622,6736.2,186.9,5916
2016,28400049,7456172,6580,181.5,5663.2
2017,29237825,7577939,6551,183.4,5625
2018,33008867,8511508,6752.7,190.3,5837.3
2019,36446918,8533085,6590.1,188.7,5726.6
2020,36520826,7837120,6001.8,180.3,5097.4
2021,37337860,8005734,6328.8,174.6,5418.2
2022,39428350,8473240,6343.2,173.1,5489
